imdb_id,popularity,budget,original_title,cast,homepage,director,overview,genres,revenue_adj,certificate,runtime,rating,votes
tt0963178,0.59517,50000000,The International,"Clive Owen,Naomi Watts,Armin Mueller-Stahl,Ulrich Thomsen,BrÃ­an F. O'Byrne",http://www.sonypictures.com/movies/theinternational/site/,Tom Tykwer,"An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk.","Drama,Thriller,Crime",61148063.93,R,118 min,6.5,96841.0
tt1013752,0.580292,85000000,Fast & Furious,"Vin Diesel,Paul Walker,Jordana Brewster,Michelle Rodriguez,John Ortiz",http://www.fastandfuriousmovie.net,Justin Lin,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.","Action,Crime,Drama,Thriller",369120316.60,PG-13,107 min,6.5,291724.0
tt1082601,0.547651,0,Fighting,"Channing Tatum,Terrence Howard,Zulay Henao,Roger Guenveur Smith,Brian J. White",http://www.fightingmovie.net,Dito Montiel,"Small-town boy Shawn MacArthur has come to New York City with nothing. Barely earning a living selling counterfeit goods on the streets, his luck changes when scam artist Harvey Boarden sees that he has a natural talent for streetfighting. When Harvey offers Shawn help at making the real cash, the two form an uneasy partnership.","Action,Adventure,Crime,Drama,Thriller",33006709.67,PG-13,105 min,5.5,33537.0
tt0844479,0.536017,3400000,The Collector,"Josh Stewart,Michael Reilly Burke,Andrea Roth,Juan FernÃ¡ndez,Madeline Zima",http://thecollector-movie.com/,Marcus Dunstan,"Desperate to repay his debt to his ex-wife, an ex-con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property, and rigged it with a series of deadly traps.","Horror,Thriller",9598904.00,R,90 min,6.3,67302.0
tt0986263,0.427479,80000000,Surrogates,"Bruce Willis,Radha Mitchell,Rosamund Pike,James Cromwell,Ving Rhames",http://chooseyoursurrogate.com/,Jonathan Mostow,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop (Willis) is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.","Action,Science Fiction,Thriller",124452919.42,PG-13,89 min,6.3,176696.0
tt0458525,0.391859,150000000,X-Men Origins: Wolverine,"Hugh Jackman,Liev Schreiber,Danny Huston,Lynn Collins,Ryan Reynolds",http://www.x-menorigins.com/,Gavin Hood,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.","Adventure,Action,Thriller,Science Fiction",346726502.50,PG-13,107 min,6.5,510537.0
tt1190536,0.378522,2900000,Black Dynamite,"Michael Jai White,Arsenio Hall,Tommy Davidson,Kevin Chapman,Richard Edson",http://www.blackdynamitemovie.com,Scott Sanders,"This is the story of 1970s African-American action legend Black Dynamite. The Man killed his brother, pumped heroin into local orphanages, and flooded the ghetto with adulterated malt liquor. Black Dynamite was the one hero willing to fight The Man all the way from the blood-soaked city streets to the hallowed halls of the Honky House...","Action,Comedy",301420.66,R,84 min,7.4,49840.0
tt1124039,0.365372,0,Echelon Conspiracy,"Shane West,Edward Burns,Ving Rhames,Martin Sheen,Steven Elder",http://www.echelonconspiracy.com/,Greg Marcks,"Mysterious cell phone messages promise a young American engineer untold wealth - then make him the target of a deadly international plot. Dangerous security operatives chase the engineer across the globe, while a powerful government official pursues a mysterious agenda that threatens the stability of the entire world.","Action,Crime,Mystery",508356.74,PG-13,105 min,5.7,19600.0
tt1003034,0.20979,0,Perrierâ€™s Bounty,"Cillian Murphy,Brendan Gleeson,Jim Broadbent,Padraic Delaney,Natalie Britton",http://www.perriersbounty.ie/,Ian Fitzgibbon,A gangster named Perrier looks to exact his revenge on a trio of fugitives responsible for the accidental death of one of his cronies.,"Action,Comedy,Crime,Drama",0.00,R,88 min,6.3,6963.0
tt1375666,9.363643,160000000,Inception,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe",http://inceptionmovie.warnerbros.com/,Christopher Nolan,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","Action,Thriller,Science Fiction,Mystery,Adventure",825500000.00,PG-13,148 min,8.8,2373682.0
