movie_id,certificate,runtime,rating,votes
tt0910936,R,111 min,6.9,344377.0
tt1615065,R,131 min,6.4,131569.0
tt1588170,Not Rated,144 min,7.8,133877.0
tt2058673,PG-13,114 min,5.3,63917.0
tt1335975,PG-13,128 min,6.2,162795.0
tt0103644,R,114 min,6.4,304323.0
tt0093428,PG,130 min,6.7,100823.0
tt0119567,PG-13,129 min,6.5,423391.0
tt0097733,R,114 min,7.2,179571.0
tt0379786,PG-13,119 min,7.8,298311.0
tt4196776,PG-13,123 min,6.6,230803.0
tt0120812,PG-13,98 min,7.0,274682.0
tt3717490,PG-13,124 min,5.9,109801.0
tt1464540,PG-13,111 min,6.1,240259.0
tt0978764,PG-13,110 min,6.0,245146.0
tt1034303,R,137 min,7.1,150566.0
tt0105112,R,117 min,6.8,114651.0
tt1253863,R,102 min,6.2,305007.0
tt0103776,PG-13,126 min,7.1,310010.0
tt1872181,PG-13,142 min,6.6,504903.0
tt0295701,PG-13,124 min,5.8,181730.0
tt1399103,PG-13,154 min,6.2,413822.0
tt1855199,R,109 min,7.6,253039.0
tt0090555,PG-13,97 min,6.6,108391.0
tt0079574,PG,126 min,6.2,103300.0
tt1535108,R,109 min,6.6,453150.0
tt0346491,R,175 min,5.6,171762.0
tt0089880,R,96 min,6.5,172595.0
tt0311429,PG-13,110 min,5.8,178390.0
tt0290334,PG-13,134 min,7.4,555713.0
tt10327252,R,103 min,5.4,35737.0
tt0080736,PG,103 min,6.6,24854.0
tt1055369,PG-13,149 min,5.9,411356.0
tt0090264,PG,131 min,6.3,99953.0
tt0114069,R,127 min,6.6,131825.0
tt0803096,PG-13,123 min,6.7,267404.0
tt1302011,PG,90 min,7.2,292055.0
tt0238380,R,107 min,7.3,335325.0
tt1860357,PG-13,107 min,7.1,172130.0
tt1981115,PG-13,112 min,6.8,690206.0
tt1959563,R,118 min,6.9,234947.0
tt1046173,PG-13,118 min,5.7,210521.0
tt1430132,PG-13,126 min,6.7,472291.0
tt2386490,PG,104 min,7.4,133311.0
tt1001526,PG,95 min,7.3,269272.0
tt1413492,R,130 min,6.5,84262.0
tt3731562,PG-13,118 min,6.6,324476.0
tt4046784,PG-13,131 min,6.3,256144.0
tt1291150,PG-13,101 min,5.8,213087.0
tt0106697,R,115 min,6.7,180841.0
tt1502712,PG-13,100 min,4.3,169636.0
tt3829266,R,107 min,5.3,135939.0
tt0089489,R,101 min,6.1,26930.0
tt0246460,PG-13,133 min,6.1,221995.0
tt0114508,R,108 min,5.8,81679.0
tt11032374,R,117 min,8.2,60643.0
tt1325004,PG-13,124 min,5.0,249603.0
tt1098327,PG,85 min,2.5,75969.0
tt1206885,R,89 min,6.1,101156.0
tt0119099,R,124 min,7.0,85548.0
tt4500922,PG-13,143 min,6.2,145221.0
tt1599348,R,115 min,6.7,225950.0
tt0831387,PG-13,123 min,6.4,418474.0
tt0234215,R,138 min,7.2,601006.0
tt0167190,PG-13,122 min,6.8,334281.0
tt1964418,PG,130 min,6.4,184720.0
tt0475394,R,108 min,6.6,147203.0
tt0118571,R,124 min,6.5,200111.0
tt0372183,PG-13,108 min,7.7,468505.0
tt5884052,PG,104 min,6.5,166935.0
tt0408306,R,164 min,7.5,230069.0
tt0144117,R,108 min,7.7,241527.0
tt0430105,R,109 min,6.8,149702.0
tt1472584,PG-13,92 min,4.6,19883.0
tt1320253,R,103 min,6.4,349613.0
tt1815862,PG-13,100 min,4.8,203379.0
tt0187078,PG-13,118 min,6.5,282640.0
tt3062096,PG-13,121 min,6.2,179410.0
tt0079116,PG,112 min,7.6,139763.0
tt0029843,PG,102 min,7.9,52105.0
tt0800320,PG-13,106 min,5.8,285365.0
tt1219827,PG-13,107 min,6.3,218295.0
tt2788710,R,112 min,6.5,337233.0
tt1408101,PG-13,132 min,7.7,486517.0
tt1959490,PG-13,138 min,5.8,257697.0
tt0918940,PG-13,110 min,6.2,179539.0
tt0453467,PG-13,126 min,7.1,314988.0
tt0330793,R,124 min,6.4,162820.0
tt0465234,PG,124 min,6.5,242334.0
tt1560220,R,99 min,6.7,184181.0
tt1509767,PG-13,110 min,5.7,109090.0
tt0100758,PG,93 min,6.7,96268.0
tt1386703,PG-13,118 min,6.2,257476.0
tt0066995,PG,120 min,6.5,108627.0
tt0259324,PG-13,110 min,5.2,242583.0
tt3640424,R,124 min,7.1,160287.0
tt0177971,PG-13,130 min,6.5,170605.0
tt1731141,PG-13,114 min,6.6,243930.0
tt0215750,R,131 min,7.5,266228.0
tt0066999,R,102 min,7.7,159569.0
tt2717822,R,133 min,5.4,61080.0
tt0298814,PG-13,135 min,5.5,102802.0
tt1343727,R,95 min,7.1,279280.0
tt0118583,R,109 min,6.2,251291.0
tt1152836,R,140 min,7.0,307129.0
tt2908446,PG-13,119 min,6.2,242031.0
tt0053125,Approved,136 min,8.3,331083.0
tt1133985,PG-13,114 min,5.5,288005.0
tt0892782,PG,94 min,6.4,166171.0
tt6475714,PG-13,103 min,5.2,61285.0
tt0146316,PG-13,100 min,5.7,212002.0
tt0114898,PG-13,177 min,6.2,199572.0
tt0395699,PG,95 min,5.6,96368.0
tt1155076,PG,140 min,6.2,189127.0
tt0808151,PG-13,138 min,6.7,297430.0
tt0212346,PG-13,109 min,6.3,215148.0
tt0458481,R,102 min,6.5,164350.0
tt0097742,PG-13,133 min,6.6,106862.0
tt1374989,PG-13,108 min,5.8,57757.0
tt2980592,R,100 min,6.7,102267.0
tt0433035,PG-13,127 min,7.0,335212.0
tt0090022,PG-13,133 min,7.2,45602.0
tt0790736,PG-13,96 min,5.6,136503.0
tt0399201,PG-13,136 min,6.8,319092.0
tt0096487,R,107 min,6.8,63684.0
tt0438488,PG-13,115 min,6.5,366037.0
tt2094766,PG-13,115 min,5.6,201436.0
tt0286716,PG-13,138 min,5.6,270878.0
tt0107362,PG-13,130 min,6.4,154957.0
tt0816462,R,113 min,5.1,100217.0
tt0462499,R,92 min,7.0,235271.0
tt0449010,PG,104 min,5.1,127628.0
tt0499448,PG,150 min,6.5,214524.0
tt2404463,R,117 min,6.6,174903.0
tt0287978,PG-13,103 min,5.3,222461.0
tt3410834,PG-13,120 min,5.7,125325.0
tt0349683,PG-13,126 min,6.3,170370.0
tt1318514,PG-13,105 min,7.6,534342.0
tt0489099,PG-13,88 min,6.1,310634.0
tt3741700,PG-13,132 min,6.0,186696.0
tt0070328,PG,121 min,6.7,109903.0
tt0092644,R,100 min,6.5,122754.0
tt2076822,PG-13,109 min,5.7,50432.0
tt0376994,PG-13,104 min,6.6,522111.0
tt0099423,R,124 min,7.1,367614.0
tt0164184,PG-13,124 min,6.4,119060.0
tt0104714,R,118 min,6.7,171341.0
tt0120873,PG-13,131 min,6.5,108086.0
tt0108333,PG,105 min,6.4,56319.0
tt1646971,PG,102 min,7.8,341463.0
tt1781922,R,103 min,6.7,88022.0
tt1172570,R,92 min,7.0,133876.0
tt0477080,PG-13,98 min,6.8,200113.0
tt1390411,PG-13,122 min,6.9,141706.0
tt0120784,R,100 min,7.1,140456.0
tt0120744,PG-13,132 min,6.5,170667.0
tt0082136,PG,95 min,6.2,37460.0
tt2333784,PG-13,126 min,6.1,185498.0
tt0277434,R,138 min,7.1,144690.0
tt0100403,R,108 min,6.3,172089.0
tt0163025,PG-13,92 min,5.9,326740.0
